file,start_timestamp,end_timestamp
RespCam_1016_p16_1_Neon Glasses_.mp4,1729070995.33,1729071260.0
RespCam_1016_p16_2_Neon Glasses_.mp4,1729069227.97,1729069502.0
RespCam_1016_p16_3_Neon Glasses_.mp4,1729070091.77,1729070472.0
RespCam_1016_p16_4_Neon Glasses_.mp4,1729064886.77,1729065414.0
RespCam_1016_p16_5_Neon Glasses_.mp4,1729067694.53,1729067926.0
RespCam_1016_p16_6_Neon Glasses_.mp4,1729071723.83,1729071974.0
RespCam_1016_p16_7_Neon Glasses_.mp4,1729068358.6,1729068638.0
RespCam_1016_p16_8_Neon Glasses_.mp4,1729066279.5,1729066604.0
RespCam_1017_p17_1_Neon Glasses_.mp4,1729154265.67,1729154546.0
RespCam_1017_p17_2_Neon Glasses_.mp4,1729148995.1,1729149270.0
RespCam_1017_p17_3_Neon Glasses_.mp4,1729153325.63,1729153712.0
RespCam_1017_p17_4_Neon Glasses_.mp4,1729154956.07,1729155420.0
RespCam_1017_p17_5_Neon Glasses_.mp4,1729149910.97,1729150138.0
RespCam_1017_p17_6_Neon Glasses_.mp4,1729151722.73,1729151970.0
RespCam_1017_p17_7_Neon Glasses_.mp4,1729152378.77,1729152790.0
RespCam_1017_p17_8_Neon Glasses_.mp4,1729150659.1,1729151036.0
RespCam_1018_p18_1_Neon Glasses_.mp4,1729217046.57,1729217250.0
RespCam_1018_p18_2_Neon Glasses_.mp4,1729219791.73,1729219998.0
RespCam_1018_p18_3_Neon Glasses_.mp4,1729221533.7,1729221946.0
RespCam_1018_p18_4_Neon Glasses_.mp4,1729218111.5,1729218586.0
RespCam_1018_p18_5_Neon Glasses_.mp4,1729220249.8,1729220420.0
RespCam_1018_p18_6_Neon Glasses_.mp4,1729217596.43,1729217806.0
RespCam_1018_p18_7_Neon Glasses_.mp4,1729221014.73,1729221288.0
RespCam_1018_p18_8_Neon Glasses_.mp4,1729219044.03,1729219296.0
RespCam_1028_p19_1_Neon Glasses_.mp4,1730106964.93,1730107196.0
RespCam_1028_p19_2_Neon Glasses_.mp4,1730104143.33,1730104402.0
RespCam_1028_p19_3_Neon Glasses_.mp4,1730102450.03,1730102912.0
RespCam_1028_p19_4_Neon Glasses_.mp4,1730105347.7,1730105734.0
RespCam_1028_p19_5_Neon Glasses_.mp4,1730107397.73,1730107604.0
RespCam_1028_p19_6_Neon Glasses_.mp4,1730103488.9,1730103716.0
RespCam_1028_p19_7_Neon Glasses_.mp4,1730106133.97,1730106494.0
RespCam_1028_p19_8_Neon Glasses_.mp4,1730104727.73,1730105000.0
RespCam_1029_p20_1_Neon Glasses_.mp4,1730173183.13,1730173376.0
RespCam_1029_p20_2_Neon Glasses_.mp4,1730173570.93,1730173758.0
RespCam_1029_p20_3_Neon Glasses_.mp4,1730170184.17,1730170678.0
RespCam_1029_p20_4_Neon Glasses_.mp4,1730172442.1,1730172788.0
RespCam_1029_p20_5_Neon Glasses_.mp4,1730173941.13,1730174116.0
RespCam_1029_p20_6_Neon Glasses_.mp4,1730171732.9,1730171980.0
RespCam_1029_p20_7_Neon Glasses_.mp4,1730171207.35,1730171484.0
RespCam_1029_p20_8_Neon Glasses_.mp4,1730169338.67,1730169716.0
RespCam_1029_p21_1_Neon Glasses_.mp4,1730189284.47,1730189512.0
RespCam_1029_p21_2_Neon Glasses_.mp4,1730191786.12,1730192008.0
RespCam_1029_p21_3_Neon Glasses_.mp4,1730190882.67,1730191256.0
RespCam_1029_p21_4_Neon Glasses_.mp4,1730186619.77,1730187056.0
RespCam_1029_p21_5_Neon Glasses_.mp4,1730188556.5,1730188784.0
RespCam_1029_p21_6_Neon Glasses_.mp4,1730185898.2,1730186138.0
RespCam_1029_p21_7_Neon Glasses_.mp4,1730187699.53,1730187970.0
RespCam_1029_p21_8_Neon Glasses_.mp4,1730189774.77,1730190152.0
RespCam_1030_p22_1_Neon Glasses_.mp4,1730254238.6,1730254468.0
RespCam_1030_p22_2_Neon Glasses_.mp4,1730257780.9,1730257986.0
RespCam_1030_p22_3_Neon Glasses_.mp4,1730254767.23,1730255214.0
RespCam_1030_p22_4_Neon Glasses_.mp4,1730257074.17,1730257452.0
RespCam_1030_p22_5_Neon Glasses_.mp4,1730258191.03,1730258372.0
